algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,avg_accuracy,avg_precision,avg_recall,avg_f1,std_accuracy,std_precision,std_recall,std_f1
LPTML,soybean,(150|4|3),4,0,0.944,0.945,0.942,0.941,0.056,0.053,0.057,0.056
EUCLIDEAN,soybean,(150|4|3),4,0,0.964,0.965,0.963,0.961,0.035,0.037,0.037,0.039
LPTML,iris,(150|4|3),4,0,0.951,0.952,0.95,0.949,0.05,0.052,0.053,0.054
EUCLIDEAN,iris,(150|4|3),4,0,0.965,0.965,0.965,0.963,0.031,0.032,0.032,0.032
LPTML,poisoned_synthetic,(106|2|2),2,0,0.822,0.827,0.829,0.818,0.125,0.123,0.122,0.126
EUCLIDEAN,poisoned_synthetic,(106|2|2),2,0,0.742,0.752,0.752,0.736,0.077,0.078,0.075,0.077
LPTML,wine,(178|13|3),13,0,0.762,0.766,0.763,0.752,0.102,0.106,0.097,0.101
EUCLIDEAN,wine,(178|13|3),13,0,0.686,0.674,0.685,0.665,0.078,0.078,0.069,0.073
LPTML,synthetic,(100|2|2),2,0,0.929,0.932,0.929,0.927,0.101,0.099,0.099,0.103
EUCLIDEAN,synthetic,(100|2|2),2,0,0.782,0.788,0.788,0.777,0.088,0.084,0.084,0.089
